"INSTRUCTIONS
1) The DPs reported in ESRS G1 are subject to Materiality Assessment.
2) Not all DPs are to be reported if the undertaking has not adopted the respective policies, implemented the respective actions or set the respective targets in relation to  a sustainability matter that has been assessed to be material [see ESRS 1 par. 33].
3) Columns K and L are not applicable as there are no DPs subject to phased-in.
4) Metrics to be disclosed, in addition to the ones explicitly requried by ESRS, also include entity-specific ones, as well as those arising from other legislation or standard";;;;;;;;;;;
ID;ESRS;DR;Paragraph;Related AR;Name;Data Type;Conditional or alternative DP;"May 
[V]";"Appendix B - ESRS 2 
(SFDR + PILLAR 3 + Benchmark + CL)";"Appendix C - ESRS 1
DPs subject to phasing-in provisions applicable to undertaking with less than 750 employees";"Appendix C - ESRS 1
DPs subject to phasing-in provisions applicable to all undertakings "
G1.GOV-1_01;G1;G1.GOV-1;5a;;Disclosure of role of administrative, management and supervisory bodies related to business conduct;narrative;;;;;
G1.GOV-1_02;G1;G1.GOV-1;5 b;;Disclosure of expertise of administrative, management and supervisory bodies on business conduct matters;narrative;;;;;
G1.MDR-P_01-06;G1;G1-1;7;;Policies in place to manage its material impacts, risks and opportunities related to business conduct and corporate culture [see ESRS 2 MDR-P];MDR-P;;;;;
G1-1_01;G1;G1-1;9;AR 1;Description of how the undertaking establishes, develops, promotes and evaluates its corporate culture;narrative;;;;;
G1-1_02;G1;G1-1;10a;;Description of the mechanisms for identifying, reporting and investigating concerns about unlawful behaviour or behaviour in contradiction of its code of conduct or similar internal rules;narrative;;;;;
G1-1_03;G1;G1-1;10 b;;No policies on anti-corruption or anti-bribery consistent with United Nations Convention against Corruption are in place;semi-narrative;;;SFDR;;
G1-1_04;G1;G1-1;10 b;;Timetable for implementation of policies on anti-corruption or anti-bribery consistent with United Nations Convention against Corruption;narrative;Conditional;;;;
G1-1_05;G1;G1-1;10 c;;Disclosure of safeguards for reporting irregularities including whistleblowing protection;narrative;;;;;
G1-1_06;G1;G1-1;10 d;;No policies on protection of whistle-blowers are in place;semi-narrative;;;SFDR;;
G1-1_07;G1;G1-1;10 d;;Timetable for implementation of policies on protection of whistle-blowers;narrative;Conditional;;;;
G1-1_08;G1;G1-1;10 e;;Undertaking is committed to investigate business conduct incidents promptly, independently and objectively;semi-narrative;;;;;
G1-1_09;G1;G1-1;10 f;;Policies with respect to animal welfare are in place;semi-narrative;Conditional;;;;
