"INSTRUCTIONS
1) The DPs reported in ESRS S1 are subject to Materiality Assessment.
2) Not all DPs are to be reported if the undertaking has not adopted the respective policies, implemented the respective actions or set the respective targets in relation to  a sustainability matter that has been assessed to be material [see ESRS 1 par. 33].
3) Undertakings or groups not exceeding on their balance sheet dates the average number of 750 employees during the financial year (on a consolidated basis where applicable) may omit all the DPs reported in ESRS S1 for the first year of preparation of their sustainability statement [see ESRS 1 Appendix C: List of phased-in Disclosure Requirements].  If S1 is material, the undertaking shall nevertheless disclose DPs reported under par. 17-BP2 of ESRS 2  [see column K]
4) Column L identifies DPs subject to phased-in for the first year [see Appendix C of ESRS 1].
5) Metrics to be disclosed, in addition to the ones explicitly requried by ESRS, also include entity-specific ones, as well as those arising from other legislation or standard.";;;;;;;;;;;;
ID;ESRS;DR;Paragraph;Related AR;Name;Data Type;Conditional or alternative DP;"May 
[V]";"Appendix B - ESRS 2 
(SFDR + PILLAR 3 + Benchmark + CL)";"Appendix C - ESRS 1
DPs subject to phasing-in provisions applicable to undertaking with less than 750 employees";"Appendix C - ESRS 1
DPs subject to phasing-in provisions applicable to all undertakings ";
S1.SBM-3_01;S1;S1.SBM-3;14;AR 6 - AR7;All people in its own workforce who can be materially impacted by undertaking are included in scope of disclosure under ESRS 2;semi-narrative;;;;1 year;;
S1.SBM-3_02;S1;S1.SBM-3;14 a;;Description of types of employees and non-employees in its own workforce subject to material impacts ;narrative;;;;1 year;;
S1.SBM-3_03;S1;S1.SBM-3;14 b;;Material negative impacts occurrence (own workforce);semi-narrative;Conditional;;;1 year;;
S1.SBM-3_04;S1;S1.SBM-3;14 c;;Description of activities that result in positive impacts and types of employees and non-employees in its own workforce that are positively affected or could be positively affected ;narrative;Conditional;;;1 year;;
S1.SBM-3_05;S1;S1.SBM-3;14 d;AR 44;Description of material risks and opportunities arising from impacts and dependencies on own workforce  ;narrative;;;;1 year;;
S1.SBM-3_06;S1;S1.SBM-3;14 e;;Description of material impacts on workers that may arise from transition plans for reducing negative impacts on environment and achieving greener and climate-neutral operations ;narrative;;;;1 year;;
S1.SBM-3_07;S1;S1.SBM-3;14 f i;;Information about type of operations at significant risk of incidents of forced labour or compulsory labour ;narrative;;;SFDR;1 year;;
S1.SBM-3_08;S1;S1.SBM-3;14 f ii;;Information about countries or geographic areas with operations considered at significant risk of incidents of forced labour or compulsory labour ;narrative;;;SFDR;1 year;;
S1.SBM-3_09;S1;S1.SBM-3;14 g i;;Information about type of operations at significant risk of incidents of child labour ;narrative;;;SFDR;1 year;;
S1.SBM-3_10;S1;S1.SBM-3;14 g ii;;Information about countries or geographic areas with operations considered at significant risk of incidents of child labour ;narrative;;;SFDR;1 year;;
S1.SBM-3_11;S1;S1.SBM-3;15;AR 8;Disclosure of whether and how understanding of people in its own workforce with particular characteristics, working in particular contexts, or undertaking particular activities may be at greater risk of harm has been developed ;narrative;;;;1 year;;
S1.SBM-3_12;S1;S1.SBM-3;16;AR 9;Disclosure of which of material risks and opportunities arising from impacts and dependencies on people in its own workforce  relate to specific groups of people;narrative;;;;1 year;;
S1.MDR-P_01-06;S1;S1-1;19;;Policies to manage material impacts, risks and opportunities related to its own workforce [see ESRS 2 MDR-P];MDR-P;;;;1 year;;
S1-1_01;S1;S1-1;19;;Policies to manage material impacts, risks and opportunities related to own workforce, including for specific groups within workforce or all own workforce;semi-narrative;;;;1 year;;
S1-1_02;S1;S1-1;AR10;;Disclosure of explanations of significant changes to policies adopted during reporting year ;narrative;;V;;1 year;;
S1-1_03;S1;S1-1;20;;Description of relevant human rights policy commitments relevant to own workforce;narrative;;;SFDR;1 year;;
S1-1_04;S1;S1-1;20a;;Disclosure of general approach in relation to respect for human rights including labour rights, of people in its own workforce;narrative;;;SFDR;1 year;;
S1-1_05;S1;S1-1;20b;;Disclosure of general approach in relation to engagement with people in its own workforce;narrative;;;SFDR;1 year;;
S1-1_06;S1;S1-1;20c;;Disclosure of general approach in relation to measures to provide and (or) enable remedy for human rights impacts ;narrative;;;SFDR;1 year;;
S1-1_07;S1;S1-1;21;AR 12;Disclosure of whether and how policies are aligned with relevant internationally recognised instruments ;narrative;;;SFDR;1 year;;
S1-1_08;S1;S1-1;22;;Policies explicitly address trafficking in human beings, forced labour or compulsory labour and child labour;semi-narrative;;;SFDR;1 year;;
S1-1_09;S1;S1-1;23;;Workplace accident prevention policy or management system is in place;semi-narrative;;;SFDR;1 year;;
S1-1_10;S1;S1-1;24a;;Specific policies aimed at elimination of discrimination are in place;semi-narrative;;;;1 year;;
S1-1_11;S1;S1-1;24b;AR 15 - AR 16 ;Grounds for discrimination are specifically covered in policy;semi-narrative;;;;1 year;;
S1-1_12;S1;S1-1;24c;;Disclosure of specific policy commitments related to inclusion and (or) positive action for people from groups at particular risk of vulnerability in own workforce ;narrative;;;;1 year;;
S1-1_13;S1;S1-1;24d;;Disclosure of whether and how policies are implemented through specific procedures to ensure discrimination is prevented, mitigated and acted upon once detected, as well as to advance diversity and inclusion ;narrative;;;;1 year;;
S1-1_14;S1;S1-1;AR 14;;Disclosure on an illustration of the types of communication of its policies to those individuals, group of individuals or entities for whom they are relevant;narrative;;V;;1 year;;
S1-1_15;S1;S1-1;AR 17 a;;Policies and procedures which make qualifications, skills and experience the basis for the recruitment, placement, training and advancement are in place;semi-narrative;;V;;1 year;;
