"INSTRUCTIONS
1) The DPs reported in ESRS S3 are subject to Materiality Assessment.
2) Not all DPs are to be reported if the undertaking has not adopted the respective policies, implemented the respective actions or set the respective targets in relation to  a sustainability matter that has been assessed to be material [see ESRS 1 par. 33].
3) Undertakings or groups not exceeding on their balance sheet dates the average number of 750 employees during the financial year (on a consolidated basis where applicable) may omit all the DPs reported in ESRS S3 for the first 2 years of preparation of their sustainability statement [see ESRS 1 Appendix C: List of phased-in Disclosure Requirements].  If S3 is material, the undertaking shall nevertheless disclose DPs reported under par. 17-BP2 of ESRS 2  [see column K]
4) The column L is not applicable as there are not DPs subject to phased-in [see Appendix C of ESRS 1].
5) Metrics to be disclosed, in addition to the ones explicitly requried by ESRS, also include entity-specific ones, as well as those arising from other legislation or standard";;;;;;;;;;;
ID;ESRS;DR;Paragraph;Related AR ;Name;Data Type;Conditional or alternative DP;"May 
[V]";"Appendix B - ESRS 2 
(SFDR + PILLAR 3 + Benchmark + CL)";"Appendix C - ESRS 1
DPs subject to phasing-in provisions applicable to undertaking with less than 750 employees";"Appendix C - ESRS 1
DPs subject to phasing-in provisions applicable to all undertakings "
S3.SBM-3_01;S3;S3.SBM-3;9;AR 5 - AR 6 ;All  affected communities who can be materially impacted by undertaking are included in scope of disclosure under ESRS 2;semi-narrative;;;;2 years;
S3.SBM-3_02;S3;S3.SBM-3;9 a);AR 7;Description of types of affected communities subject to material impacts;narrative;;;;2 years;
S3.SBM-3_03;S3;S3.SBM-3;9 a i-iv;AR 7;Type of communities subject to material impacts by own operations or through value chain;semi-narrative;;;;2 years;
S3.SBM-3_04;S3;S3.SBM-3;9 b;;Material negative impacts occurrence (affected communities);semi-narrative;Conditional;;;2 years;
S3.SBM-3_05;S3;S3.SBM-3;9 c;;Description of activities that result in positive impacts and types of affected communities that are positively affected or could be positively affected ;narrative;Conditional;;;2 years;
S3.SBM-3_06;S3;S3.SBM-3;9 d;;Description of material risks and opportunities arising from impacts and dependencies on  affected communities   ;narrative;;;;2 years;
S3.SBM-3_07;S3;S3.SBM-3;10;;Disclosure of whether and how the undertaking has developed an understanding of how affected communities with particular characteristics or those living in particular contexts, or those undertaking particular activities may be at greater risk of harm;narrative;;;;2 years;
S3.SBM-3_08;S3;S3.SBM-3;11;AR 8;Disclosure of which of material risks and opportunities arising from impacts and dependencies on affected communities are impacts on specific groups ;narrative;;;;2 years;
S3.MDR-P_01-06;S3;S3-1;14;;Policies to manage material impacts, risks and opportunities related to affected communities [see ESRS 2 MDR-P];MDR-P;;;;2 years;
S3-1_01;S3;S3-1;15;;Disclosure of any  any particular policy provisions for preventing and addressing impacts on indigenous peoples;narrative;;;;2 years;
S3-1_02;S3;S3-1;16;;Description of relevant human rights policy commitments relevant to affected communities;narrative;;;SFDR;2 years;
S3-1_03;S3;S3-1;16 a;;Disclosure of general approach in relation to respect for human rights of communities, and indigenous peoples specifically;narrative;;;SFDR;2 years;
S3-1_04;S3;S3-1;16 b;;Disclosure of general approach in relation to engagement with affected communities;narrative;;;SFDR;2 years;
S3-1_05;S3;S3-1;16 c;;Disclosure of general approach in relation to measures to provide and (or) enable remedy for human rights impacts ;narrative;;;SFDR;2 years;
S3-1_06;S3;S3-1;17;AR 10;Disclosure of whether and how policies are aligned with relevant internationally recognised instruments ;narrative;;;SFDR;2 years;
S3-1_07;S3;S3-1;17;;Disclosure of extent and indication of nature of cases of non-respect of the UN Guiding Principles on Business and Human Rights, ILO Declaration on Fundamental Principles and Rights at Work or OECD Guidelines for Multinational Enterprises that involve affected communities;narrative;;;SFDR + Benchmark;2 years;
S3-1_08;S3;S3-1;AR 9;;Disclosure of explanations of significant changes to policies adopted during reporting year ;narrative;;V;;2 years;
S3-1_09;S3;S3-1;AR 11;;Disclosure on an illustration of the types of communication of its policies to those individuals, group of individuals or entities for whom they are relevant;narrative;;V;;2 years;
S3.MDR-P_07-08;ESRS 2;;62;;Disclosures to be reported in case the undertaking has not adopted policies;;;;;2 years;
S3-2_01;S3;S3-2;21;AR 16;Disclosure of whether and how perspectives of affected communities inform decisions or activities aimed at managing actual and potential impacts ;narrative;;;;2 years;
S3-2_02;S3;S3-2;21 a;;Engagement occurs with affected communities or their legitimate representatives directly, or with credible proxies;semi-narrative;Conditional;;;2 years;
S3-2_03;S3;S3-2;21 b;AR 15;Disclosure of stage at which engagement occurs, type of engagement and frequency of engagement ;narrative;Conditional;;;2 years;
S3-2_04;S3;S3-2;21 c;AR 14 - AR 15;Disclosure of function and most senior role within undertaking that has operational responsibility for ensuring that engagement happens and that results inform undertakings approach ;narrative;Conditional;;;2 years;
S3-2_05;S3;S3-2;21 d;;Disclosure of how the undertaking assesses the effectiveness of its engagement with affected communities;narrative;Conditional;;;2 years;
S3-2_06;S3;S3-2;22;;Disclosure of steps taken to gain insight into perspectives of  affected communities hat may be particularly vulnerable to impacts and (or) marginalised ;narrative;Conditional;;;2 years;
S3-2_07;S3;S3-2;23;AR 13;Disclosure of whether and how the undertaking takes into account and ensures respect of particular rights of indigenous peoples in its stakeholder engagement approach;narrative;Conditional;;;2 years;
S3-2_08;S3;S3-2;24;;Statement in case the undertaking has not adopted a general process to engage with affected communities;narrative;Conditional;;;2 years;
S3-2_09;S3;S3-2;24;;Disclosure of timeframe for adoption of general process to engage with affected communities in case the undertaking has not adopted a general process for engagement;narrative;Conditional;V;;2 years;
S3-3_10;S3;S3-3;27 a ;AR 17, AR 22;Disclosure of general approach to and processes for providing or contributing to remedy where undertaking has identified that it connected with a material negative impact on affected communities   ;narrative;;;;2 years;
S3-3_11;S3;S3-3;27 b ;AR 18;Disclosure of specific channels in place for affected communities to raise concerns or needs directly with undertaking and have them addressed ;narrative;;;;2 years;
S3-3_12;S3;S3-3;27 c ;;Disclosure of processes through which undertaking supports or requires availability of channels ;narrative;;;;2 years;
S3-3_13;S3;S3-3;27 d ;AR 24;Disclosure of how issues raised and addressed are tracked and monitored and how effectiveness of channels is ensured ;narrative;;;;2 years;
S3-3_14;S3;S3-3;28;AR 23;Disclosure of whether and how it is assessed that affected communities are aware of and trust structures or processes as way to raise their concerns or needs and have them addressed ;narrative;;;;2 years;
S3-3_15;S3;S3-3;28;;Policies regarding protection against retaliation for individuals that use channels to raise concerns or needs are in place;semi-narrative;;;;2 years;
S3-3_16;S3;S3-3;29;;Statement in case the undertaking has not adopted a general process to engage with affected communities;narrative;Conditional;;;2 years;
S3-3_17;S3;S3-3;29;;Disclosure of timeframe for channel or processes for raising concerns to be in place ;narrative;Conditional;V;;2 years;
S3-3_18;S3;S3-3;AR 19;;Disclosure of whether and how affected communities are able to access channels at level of undertaking they are affected by;narrative;;V;;2 years;
S3-3_19;S3;S3-3;AR 20;;Third-party mechanisms are accessible to all affected communities;semi-narrative;;V;;2 years;
S3-3_20;S3;S3-3;AR 21;;Grievances are treated confidentially and with respect to rights of privacy and data protection;semi-narrative;;V;;2 years;
S3-3_21;S3;S3-3;AR 21;;affected communities   are allowed to use anonymously channels to raise concerns or needs;semi-narrative;;V;;2 years;
S3.MDR-A_01-12;S3;S3-4;31;;Action plans and resources to manage its material impacts, risks, and opportunities related to affected communities [see ESRS 2 - MDR-A];MDR-A;;;;2 years;
S3-4_01;S3;S3-4;32 a ;AR 28 - AR 29, AR 36;Description of action taken, planned or underway to prevent, mitigate or remediate material negative impacts on affected communities   ;narrative;;;;2 years;
S3-4_02;S3;S3-4;32 b;;Description of whether and how the undertaking has taken action to provide or enable remedy in relation to an actual material impact;narrative;;;;2 years;
S3-4_03;S3;S3-4;32 c;AR 37;Description of additional initiatives or processes with primary purpose of delivering positive impacts for affected communities  ;narrative;;;;2 years;
S3-4_04;S3;S3-4;32 d;AR 31 - AR 33;Description of how effectiveness of actions or initiatives in delivering outcomes for affected communities is tracked and assessed ;narrative;;;;2 years;
S3-4_05;S3;S3-4;33 a;AR 26;Description of processes to identifying what action is needed and appropriate in response to particular actual or potential material negative impact on affected communities   ;narrative;;;;2 years;
S3-4_06;S3;S3-4;33 b;;Description of approach to taking action in relation to specific material negative impacts on affected communities   ;narrative;;;;2 years;
S3-4_07;S3;S3-4;33 c;;Description of approach to ensuring that processes to provide or enable remedy in event of material negative impacts on affected communities are available and effective in their implementation and outcomes ;narrative;;;;2 years;
S3-4_08;S3;S3-4;34 a;AR 38 - AR 40, AR 42;Description of what action is planned or underway to mitigate material risks arising from impacts and dependencies on affected communities and how effectiveness is tracked ;narrative;;;;2 years;
S3-4_09;S3;S3-4;34 b;;Description of what action is planned or underway to pursue material opportunities in relation to affected communities   ;narrative;;;;2 years;
S3-4_10;S3;S3-4;35;AR 30;Disclosure of whether and how it is ensured that own practices do not cause or contribute to material negative impacts on affected communities   ;narrative;;;;2 years;
S3-4_11;S3;S3-4;36;;Disclosure of severe human rights issues and incidents connected to affected communities ;narrative;;;SFDR;2 years;
S3-4_12;S3;S3-4;38;;Disclosure of resources allocated to management of material impacts ;narrative;;;;2 years;
S3-4_13;S3;S3-4;AR 27;;Disclosure of whether and how undertaking seeks to use leverage with relevant business relationships to manage material negative impacts affecting  affected communities   ;narrative;;V;;2 years;
S3-4_14;S3;S3-4;AR 28;;Disclosure of how participation in industry or multi-stakeholder initiative and undertaking's own involvement is aiming to address material impacts ;narrative;;V;;2 years;
S3-4_15;S3;S3-4;AR 34 a;;Disclosure of whether and how affected communities  play role in decisions regarding design and implementation of programmes or investments ;narrative;;V;;2 years;
S3-4_16;S3;S3-4;AR 34 b;;Information about intended or achieved positive outcomes of programmes or investments for  affected communities   ;narrative;;V;;2 years;
S3-4_17;S3;S3-4;AR 34 c;;Explanation of the approximate scope of affected communities covered by the described social investment or development programmes, and, where applicable, the rationale for why selected communities were chosen;narrative;;V;;2 years;
S3-4_18;S3;S3-4;AR 35;;Initiatives or processes whose primary aim is to deliver positive impacts for affected communities are designed also to support achievement of one or more of Sustainable Development Goals;semi-narrative;;V;;2 years;
S3-4_19;S3;S3-4;AR 43;;Description of internal functions that are involved in managing impacts and types of action taken by internal functions to address negative and advance positive impacts ;narrative;;V;;2 years;
S3.MDR-A_13-14;ESRS 2;;62;;Disclosures to be reported if the undertaking has not adopted actions;;;;;2 years;
S3.MDR-T_01-13;S3;S3-5;41;AR 45 -AR 47;Targets set to manage material impacts, risks and opportunities related to affected communities [see ESRS 2 - MDR-T];MDR-T;;;;2 years;
S3-5_01;S3;S3-5;42 a ;;Disclosure of whether and how affected communities were engaged directly in setting targets;narrative;;;;2 years;
S3-5_02;S3;S3-5;42 b;;Disclosure of whether and how affected communities  were engaged directly in tracking performance against targets;narrative;;;;2 years;
S3-5_03;S3;S3-5;42 c;;Disclosure of whether and how affected communities  were engaged directly in identifying lessons or improvements as result of undertaking’s performance;narrative;;;;2 years;
S3-5_04;S3;S3-5;AR 44 a;;Disclosure of intended outcomes to be achieved in lives of  affected communities   ;narrative;;V;;2 years;
S3-5_05;S3;S3-5;AR 44 b;;Information about stability over time of target in terms of definitions and methodologies to enable comparability ;narrative;;V;;2 years;
S3-5_06;S3;S3-5;AR 44 c;;Disclosure of references to standards or commitments on which target is based ;narrative;;V;;2 years;
S3.MDR-T_14-19;ESRS 2;;81;;Disclosures to be reported if the undertaking has not adopted targets;;;;;2 years;
;;;;;;;;;;;
