"INSTRUCTIONS
1)The ""shall disclose"" DPs reported in ESRS 2 are to be disclosed irrespective of the outcome of its materiality assessment [ESRS 1 par. 29].
2) Undertakings or groups not exceeding on their balance sheet dates the average number of 750 employees during the financial year (on a consolidated basis where applicable) may omit the information required by ESRS E4, ESRS S1, ESRS S2, ESRS S3 or ESRS S4 in accordance with Appendix C of ESRS 1. In this case, the undertaking shall nevertheless disclose DPs reported under par. 17-BP2 of ESRS 2 if one or more of these topics have been assessed to be material [see Column K].
3) Column L identifies DPs related to SBM-1 and SBM-3 subject to phased in according to Appendix C of ESRS 1.";;;;;;;;;;;
ID;ESRS;DR;Paragraph;Related AR;Name;Data Type;Conditional or alternative DP;"May 
[V]";"Appendix B - ESRS 2 
(SFDR + PILLAR 3 + Benchmark + CL)";"DPs to be disclosed in case of phased-in [Appendix C - ESRS 1]
Undertaking less than 750 employees";"Appendix C - ESRS 1
[DPs subject to phased-in]
"
BP-1_01;ESRS 2;BP-1;5 a;;Basis for preparation of sustainability statement;semi-narrative;;;;;
BP-1_02;ESRS 2;BP-1;5 b i;;Scope of consolidation of consolidated sustainability statement is same as for financial statements;narrative;Conditional;;;;
BP-1_03;ESRS 2;BP-1;5 b ii;;Indication of subsidiary undertakings included in consolidation that are exempted from individual or consolidated sustainability reporting ;narrative;Conditional;;;;
BP-1_04;ESRS 2;BP-1;5 c;AR 1;Disclosure of extent to which sustainability statement covers upstream and downstream value chain ;narrative;;;;;
BP-1_05;ESRS 2;BP-1;5 d;;Option to omit specific piece of information corresponding to intellectual property, know-how or results of innovation has been used;semi-narrative;;;;;
BP-1_06;ESRS 2;BP-1;5 e;;Option allowed by Member State to omit disclosure of impending developments or matters in course of negotiation has been used;semi-narrative;;;;;
BP-2_01;ESRS 2;BP-2;9 a;;Disclosure of definitions of medium- or long-term time horizons ;narrative;Conditional;;;;
BP-2_02;ESRS 2;BP-2;9 b;;Disclosure of reasons for applying different definitions of time horizons ;narrative;Conditional;;;;
BP-2_03;ESRS 2;BP-2;10 a;;Disclosure of metrics that include value chain data estimated using indirect sources ;narrative;Conditional;;;;
BP-2_04;ESRS 2;BP-2;10 b;;Description of basis for preparation of metrics that include value chain data estimated using indirect sources ;narrative;Conditional;;;;
BP-2_05;ESRS 2;BP-2;10 c;;Description of resulting level of accuracy of metrics that include value chain data estimated using indirect sources ;narrative;Conditional;;;;
BP-2_06;ESRS 2;BP-2;10 d;;Description of planned actions to improve accuracy in future of metrics that include value chain data estimated using indirect sources ;narrative;Conditional;;;;
BP-2_07;ESRS 2;BP-2;11 a;;Disclosure of quantitative metrics and monetary amounts disclosed that are subject to high level of measurement uncertainty ;narrative/numerical;;;;;
BP-2_08;ESRS 2;BP-2;11 b i;;Disclosure of sources of measurement uncertainty ;narrative;;;;;
BP-2_09;ESRS 2;BP-2;11 b ii;;Disclosure of assumptions, approximations and judgements made in measurement ;narrative;;;;;
BP-2_10;ESRS 2;BP-2;13 a;;Explanation of changes in preparation and presentation of sustainability information and reasons for them ;narrative;Conditional;;;;
BP-2_11;ESRS 2;BP-2;13 b;;Adjustment of comparative information for one or more prior periods is impracticable;semi-narrative;Conditional;;;;
BP-2_12;ESRS 2;BP-2;13 b, 13 c;;Disclosure of difference between figures disclosed in preceding period and revised comparative figures ;Integer;Conditional;;;;
BP-2_13;ESRS 2;BP-2;14 a;;Disclosure of nature of prior period material errors ;narrative;Conditional;;;;
BP-2_14;ESRS 2;BP-2;14 b;;Disclosure of corrections for prior periods included in sustainability statement ;narrative/numerical;Conditional;;;;
BP-2_15;ESRS 2;BP-2;14 c;;Disclosure of why correction of prior period errors is not practicable ;narrative;Conditional;;;;
BP-2_16;ESRS 2;BP-2;15;;Disclosure of other legislation or generally accepted sustainability reporting standards and frameworks based on which information has been included in sustainability statement ;narrative;Conditional;;;;
BP-2_17;ESRS 2;BP-2;15;;Disclosure of reference to paragraphs of standard or framework applied ;narrative;Conditional;;;;
BP-2_18;ESRS 2;BP-2;AR 2;;European standards approved by European Standardisation System (ISO/IEC or CEN/CENELEC standards) have been relied on;semi-narrative;;V;;;
BP-2_19;ESRS 2;BP-2;AR 2;;Disclosure of extent to which data and processes that are used for sustainability reporting purposes have been verified by external assurance provider and found to conform to corresponding ISO/IEC or CEN/CENELEC standard ;narrative;;V;;;
BP-2_20;ESRS 2;BP-2;16;;List of DRs or DPs incorporated by reference;narrative;Conditional;;;;
BP-2_21;ESRS 2;BP-2;17;;Topics (E4, S1, S2, S3, S4) have been assessed to be material ;semi-narrative;Conditional;;;According to Appendix C of ESRS 1;
BP-2_22;ESRS 2;BP-2;17 a;;List of sustainability matters assessed to be material (phase-in);semi-narrative;Conditional;;;According to Appendix C of ESRS 1;
BP-2_23;ESRS 2;BP-2;17 a;;Disclosure of how business model and strategy take account of impacts related to sustainability matters assessed to be material (phase-in) ;narrative;Conditional;;;According to Appendix C of ESRS 1;
BP-2_24;ESRS 2;BP-2;17 b;;Description of any time-bound targets set related to sustainability matters assessed to be material (phase-in) and progress made towards achieving those targets ;narrative/numerical;Conditional;;;According to Appendix C of ESRS 1;
BP-2_25;ESRS 2;BP-2;17 c;;Description of policies related to sustainability matters assessed to be material (phase-in) ;narrative;Conditional;;;According to Appendix C of ESRS 1;
BP-2_26;ESRS 2;BP-2;17 d;;Description of actions taken to identify, monitor, prevent, mitigate, remediate or bring end to actual or potential adverse impacts related to sustainability matters assessed to be material (phase-in) and result of such actions ;narrative;Conditional;;;According to Appendix C of ESRS 1;
BP-2_27;ESRS 2;BP-2;17 e;;Disclosure of metrics related to sustainability matters assessed to be material (phase-in) ;narrative/numerical;Conditional;;;According to Appendix C of ESRS 1;
GOV-1_01;ESRS 2;GOV-1;21 a;;Number of executive members;Integer;;;;;
GOV-1_02;ESRS 2;GOV-1;21 a;;Number of non-executive members;Integer;;;;;
GOV-1_03;ESRS 2;GOV-1;21 b;;Information about representation of employees and other workers ;narrative;;;;;
GOV-1_04;ESRS 2;GOV-1;21 c;AR 5;Information about member's experience relevant to sectors, products and geographic locations of undertaking ;narrative;;;;;
GOV-1_05;ESRS 2;GOV-1;21 d;;Percentage of members of administrative, management and supervisory bodies by gender and other aspects of diversity;Percent;;;;;
GOV-1_06;ESRS 2;GOV-1;21 d ;;Board's gender diversity ratio;Percent;;;SFDR;;
GOV-1_07;ESRS 2;GOV-1;21 e;;Percentage of independent board members;Percent;x;;SFDR;;
GOV-1_08;ESRS 2;GOV-1;22 a;;Information about identity of administrative, management and supervisory bodies or individual(s) within body responsible for oversight of impacts, risks and opportunities ;narrative;;;;;
